http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
http://statistics.data.gov.uk/id/local-authority-district/33UE,King's Lynn and West Norfolk,,,,,820,680,640,1100,590,310,560
http://statistics.data.gov.uk/id/local-authority-district/00FA,Kingston upon Hull,,,,,-130,290,710,540,260,-90,360
http://statistics.data.gov.uk/id/local-authority-district/00AX,Kingston upon Thames,,,,,540,360,320,290,180,140,140
http://statistics.data.gov.uk/id/local-authority-district/00CZ,Kirklees,,,,,820,980,2270,2290,1100,690,
http://statistics.data.gov.uk/id/local-authority-district/00BX,Knowsley,,,,,-220,-10,440,70,250,-60,170
http://statistics.data.gov.uk/id/local-authority-district/00AY,Lambeth,,,,,800,1150,1130,1210,1100,1150,1340
http://statistics.data.gov.uk/id/local-authority-district/30UH,Lancaster,,,,,340,250,180,330,330,100,80
http://statistics.data.gov.uk/id/local-authority-district/00DA,Leeds,,,,,2630,3440,3330,3580,3830,2240,1690
http://statistics.data.gov.uk/id/local-authority-district/00FN,Leicester,,,,,960,1130,1220,940,1210,930,1190
http://statistics.data.gov.uk/id/local-authority-district/21UF,Lewes,,,,,170,200,300,420,260,180,160
http://statistics.data.gov.uk/id/local-authority-district/00AZ,Lewisham,,,,,500,750,370,800,920,780,730
http://statistics.data.gov.uk/id/local-authority-district/41UD,Lichfield,,,,,600,650,340,580,270,,
http://statistics.data.gov.uk/id/local-authority-district/32UD,Lincoln,,,,,370,410,530,500,260,360,400
http://statistics.data.gov.uk/id/local-authority-district/00BY,Liverpool,,,,,1160,1520,2100,1490,2280,920,230
http://statistics.data.gov.uk/id/government-office-region/H,London,,,,,22890,24860,26940,27570,28300,24340,17830
http://statistics.data.gov.uk/id/local-authority-district/00KA,Luton,,,,,560,570,410,480,420,390,220
http://statistics.data.gov.uk/id/local-authority-district/13UG,Macclesfield,,,,,210,390,250,360,160,,
http://statistics.data.gov.uk/id/local-authority-district/29UH,Maidstone,,,,,820,760,710,990,440,580,
http://statistics.data.gov.uk/id/local-authority-district/22UK,Maldon,,,,,180,170,140,160,160,110,40
http://statistics.data.gov.uk/id/local-authority-district/47UC,Malvern Hills,,,,,200,170,280,310,260,220,140
http://statistics.data.gov.uk/id/local-authority-district/00BN,Manchester,,,,,2980,2680,4580,5150,1890,1500,550
http://statistics.data.gov.uk/id/local-authority-district/37UF,Mansfield,,,,,170,330,500,260,210,200,350
http://statistics.data.gov.uk/id/local-authority-district/00LC,Medway,,,,,650,530,590,760,910,,660
http://statistics.data.gov.uk/id/local-authority-district/31UG,Melton,,,,,120,,190,240,280,240,160
http://statistics.data.gov.uk/id/local-authority-district/40UB,Mendip,,,,,370,580,550,600,570,400,480
http://statistics.data.gov.uk/id/local-authority-district/00BA,Merton,,,,,350,680,400,560,770,330,360
http://statistics.data.gov.uk/id/local-authority-district/09UC,Mid Bedfordshire,,,,,450,880,850,720,720,,
http://statistics.data.gov.uk/id/local-authority-district/18UD,Mid Devon,,,,,400,510,430,430,30,280,270
http://statistics.data.gov.uk/id/local-authority-district/42UE,Mid Suffolk,,,,,380,550,810,510,430,420,310
http://statistics.data.gov.uk/id/local-authority-district/45UG,Mid Sussex,,,,,460,610,340,500,480,240,170
http://statistics.data.gov.uk/id/local-authority-district/00EC,Middlesbrough,,,,,100,40,360,220,-100,60,190
http://statistics.data.gov.uk/id/local-authority-district/00MG,Milton Keynes,,,,,1360,1800,1660,2300,1840,1410,1300
http://statistics.data.gov.uk/id/local-authority-district/43UE,Mole Valley,,,,,200,190,580,270,170,120,110
http://statistics.data.gov.uk/id/local-authority-district/24UJ,New Forest,,,,,500,400,300,440,530,240,260
http://statistics.data.gov.uk/id/local-authority-district/37UG,Newark and Sherwood,,,,,690,560,480,330,350,400,
http://statistics.data.gov.uk/id/local-authority-district/00CJ,Newcastle upon Tyne,,,,,380,510,430,390,-20,20,280
http://statistics.data.gov.uk/id/local-authority-district/41UE,Newcastle-under-Lyme,,,,,220,230,210,140,280,220,180
http://statistics.data.gov.uk/id/local-authority-district/00BB,Newham,,,,,590,920,740,940,1090,1480,790
http://statistics.data.gov.uk/id/local-authority-district/15UE,North Cornwall,,,,,430,390,510,530,220,,
